sheet_row,sku,product_type,product_subtype,product_name,body_material_primary,finish_name,colour_family,mount_type,parts_list,cable_type,cable_material,img_url
79,PHCH1PCTSBM,Lighting Accessory,Pendant Lamp Holder,E27 BLACK Pendant Lamp Holder with 1m Braided Cable,Metal,Matte Black,Black,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Twisted,Fabric Braided,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/3700.jpg
80,PHRH1PBRGD,Lighting Accessory,Pendant Lamp Holder,E27 GoldPendant Lamp Holder with 1m Round Cable,Metal,Gold / Metallic,Gold,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/828.jpg
81,PHRH1PBRCO,Lighting Accessory,Pendant Lamp Holder,E27 Copper Pendant Lamp Holder with 1m Round Cable,Metal,Brass,Copper,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/827.jpg
82,PHRH1PWRWH,Lighting Accessory,Pendant Lamp Holder,E27  Pendant Lamp Holder with 1m Round PVC Cable,Metal,Painetd White,White,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2519.jpg
83,PHRI1PBRBA,Lighting Accessory,Pendant Lamp Holder,E27 Shiny Black Pendant Lamp Holder with 1m Round PVC Cable,Metal,Shiny Black,Black,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/313.jpg
84,PHRI1PBRFG,Lighting Accessory,Pendant Lamp Holder,E27 French Gold Pendant Lamp Holder with 1m Round PVC Cable,Metal,French Gold (Rose Gold Tone),French Gold,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2591.jpg
85,PHRI1PBRGB,Lighting Accessory,Pendant Lamp Holder,E27 Green BrassPendant Lamp Holder with 1m Round PVC Cable,Metal,Brass,Green Brass,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2590.jpg
86,PHRI1PBRBY,Lighting Accessory,Pendant Lamp Holder,E27Shiny BlackPendant Lamp Holder with 1m Round Cable,Metal,Gloss,Blacks,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2589.jpg
87,PHRI1PBRRO,Lighting Accessory,Pendant Lamp Holder,E27 rOSE GOLD Pendant Lamp Holder with 1m Round Cable,Metal,Rose Gold,Rose Gold,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2588.jpg
88,PHRI1PBRCO,Lighting Accessory,Pendant Lamp Holder,E27 Copper Pendant Lamp Holder with 1m Round Cable,Metal,Brass,Copper,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2587.jpg
89,PHRI1PBRYB,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Brass Pendant Lamp Holder with 1m Twisted Cable,Metal,Brass,Yellow Brass,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2586.jpg
90,PHRI1PCRCH,Lighting Accessory,Pendant Lamp Holder,E27 Chrome Pendant Lamp Holder with 1m Braided Cable,Metal,Polished Chrome,Silver,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2585.jpg
91,PHRI1PCRSN,Lighting Accessory,Pendant Lamp Holder,E27 Antique Silver Metal Lampholder,Metal,Brass,Satinnickle,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2584.jpg
92,PHUP1PCRSN,Lighting Accessory,Pendant Lamp Holder,E27 Antique Silver Metal Lampholder,Metal,Brass,Satinnickle,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/3404.jpg
93,PHUP1PBRGB,Lighting Accessory,Pendant Lamp Holder,E27 Green BrassPendant Lamp Holder with 1m Round PVC Cable,Metal,Brass,Green Brass,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/734.jpg
94,PHUP1PBRCO,Lighting Accessory,Pendant Lamp Holder,E27 Copper Pendant Lamp Holder with 1m Round Cable,Metal,Brass,Copper,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/733.jpg
95,PHUP1PCRCH,Lighting Accessory,Pendant Lamp Holder,E27 Chrome Pendant Lamp Holder with 1m Braided Cable,Metal,Polished Chrome,Silver,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/732.jpg
96,PHUP1PWRWH,Lighting Accessory,Pendant Lamp Holder,E27 Plastic Lampholder (,Metal,Painetd White,White,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/731.jpg
97,PHUP1PBRBM,Lighting Accessory,Pendant Lamp Holder,E27 Plastic Lampholder (,Metal,Matte Black,Black,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/730.jpg
98,PHUP1PBRYB,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Brass Pendant Lamp Holder with 1m Twisted Cable,Metal,Brass,Yellow Brass,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2466.jpg
99,PHHT1PBRGB,Lighting Accessory,Pendant Lamp Holder,E27 Green BrassPendant Lamp Holder with 1m Round PVC Cable,Metal,Brass,Green Brass,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2469.jpg
100,PHHT1PBRYB,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Brass Pendant Lamp Holder with 1m Twisted Cable,Metal,Brass,Yellow Brass,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2468.jpg
101,PHHT1PBRBS,Lighting Accessory,Pendant Lamp Holder,1m Black Rubber Cable Pendant Light Holder,Metal,Brushed Silver,Silver,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2002.jpg
102,PHHT1PBRGD,Lighting Accessory,Pendant Lamp Holder,1m Black Rubber Cable Pendant Light Holder,Metal,Gold / Metallic,Gold (Gold Tone),Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/905.jpg
103,PHHT1PBRBC,Lighting Accessory,Pendant Lamp Holder,1m Black Rubber Cable Pendant Light Holder,Metal,Brass,Brushed Copper,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/750.jpg
104,PHHT1PBRRR,Lighting Accessory,Pendant Lamp Holder,1m Black Rubber Cable Pendant Light Holder,Metal,Rustic Red,Red,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/749.jpg
105,PHHT1PBRFG,Lighting Accessory,Pendant Lamp Holder,1m Black Rubber Cable Pendant Light Holder,Metal,French Gold (Rose Gold Tone),French Gold,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/748.jpg
106,PHHT1PBRRO,Lighting Accessory,Pendant Lamp Holder,1m Black Rubber Cable Pendant Light Holder,Metal,Rose Gold,Rose Gold,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/747.jpg
107,PHHT1PBRCH,Lighting Accessory,Pendant Lamp Holder,E27 Chrome Pendant Lamp Holder with 1m Braided Cable,Metal,Polished Chrome,Silver,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/745.jpg
108,PHRY1PCRPI,Lighting Accessory,Pendant Lamp Holder,1m Fabric Cable Pendant Light Holder,Silicone,Painted Pink,Pink,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,Fabric (PVC Inner Insulation),https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/3220.jpg
109,PHRY2PCRRE,Lighting Accessory,Pendant Lamp Holder,1m Fabric Cable Pendant Light Holder,Silicone,Gloss Plastic Finish,Red,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,Fabric (PVC Inner Insulation),https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/3219.jpg
110,PHRY1PCRRE,Lighting Accessory,Pendant Lamp Holder,1m Fabric Cable Pendant Light Holder,Silicone,Gloss Plastic Finish,Red,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,Fabric (PVC Inner Insulation),https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/3218.jpg
111,PHRY2PCRBT,Lighting Accessory,Pendant Lamp Holder,1m Fabric Cable Pendant Light Holder,Silicone,Glossy painted,Blue,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,Fabric (PVC Inner Insulation),https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/3150.jpg
112,PHRY1PCRBT,Lighting Accessory,Pendant Lamp Holder,1m Fabric Cable Pendant Light Holder,Silicone,Glossy painted,Blue,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,Fabric (PVC Inner Insulation),https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/3149.jpg
113,PHRY2PCRGY,Lighting Accessory,Pendant Lamp Holder,1m Fabric Cable Pendant Light Holder,Silicone,Matte Gray,Grey,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,Fabric (PVC Inner Insulation),https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/3148.jpg
114,PHRY1PCRGY,Lighting Accessory,Pendant Lamp Holder,1m Fabric Cable Pendant Light Holder,Silicone,Matte Gray,Grey,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,Fabric (PVC Inner Insulation),https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/3147.jpg
115,PHRY2PCRPI,Lighting Accessory,Pendant Lamp Holder,1m Fabric Cable Pendant Light Holder,Silicone,Painted Pink,Pink,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,Fabric (PVC Inner Insulation),https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/3146.jpg
116,PHRY2PCRYE,Lighting Accessory,Pendant Lamp Holder,1m Fabric Cable Pendant Light Holder,Silicone,Glossy painted,Yellow,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,Fabric (PVC Inner Insulation),https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2720.jpg
117,PHRY2PCRWH,Lighting Accessory,Pendant Lamp Holder,1m Fabric Cable Pendant Light Holder,Silicone,Painetd White,White,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,Fabric (PVC Inner Insulation),https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2719.jpg
118,PHRY2PCROR,Lighting Accessory,Pendant Lamp Holder,1m Fabric Cable Pendant Light Holder,Silicone,Glossy painted,Orange,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,Fabric (PVC Inner Insulation),https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2718.jpg
119,PHRY2PCRLG,Lighting Accessory,Pendant Lamp Holder,1m Fabric Cable Pendant Light Holder,Silicone,Silicone,Green,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,Fabric (PVC Inner Insulation),https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2717.jpg
120,PHRY2PCRBM,Lighting Accessory,Pendant Lamp Holder,1m Fabric Cable Pendant Light Holder,Silicone,Silicone,Black,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,Fabric (PVC Inner Insulation),https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2716.jpg
121,PHRY1PCRYE,Lighting Accessory,Pendant Lamp Holder,1m Fabric Cable Pendant Light Holder,Silicone,Glossy painted,Yellow,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,Fabric (PVC Inner Insulation),https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2715.jpg
122,PHRY1PCRWH,Lighting Accessory,Pendant Lamp Holder,1m Fabric Cable Pendant Light Holder,Silicone,Painetd White,White,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,Fabric (PVC Inner Insulation),https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2714.jpg
123,PHRY1PCROR,Lighting Accessory,Pendant Lamp Holder,1m Fabric Cable Pendant Light Holder,Silicone,Glossy painted,Orange,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,Fabric (PVC Inner Insulation),https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2713.jpg
124,PHRY1PCRLG,Lighting Accessory,Pendant Lamp Holder,1m Fabric Cable Pendant Light Holder,Silicone,Silicone,Green,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,Fabric (PVC Inner Insulation),https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2712.jpg
125,PHRY1PCRBM,Lighting Accessory,Pendant Lamp Holder,1m Fabric Cable Pendant Light Holder,Silicone,Silicone,Black,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,Fabric (PVC Inner Insulation),https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2711.jpg
126,PHHN1PBRCO,Lighting Accessory,Pendant Lamp Holder,E27 Copper Pendant Lamp Holder with 1m Round Cable,Metal,Brass,Copper,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2444.jpg
127,PHMU1PBRGS,Lighting Accessory,Pendant Lamp Holder,E27 Pendant Lamp Holder with 1m Round Cable,Metal,Mateeblack With Gold Edge Line,Black,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2454.jpg
128,PHHN1PBRGD,Lighting Accessory,Pendant Lamp Holder,E27 Pendant Lamp Holder with 1m Round Cable,Metal,Gold / Metallic,Gold,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/839.jpg
129,PHMU1PBRFG,Lighting Accessory,Pendant Lamp Holder,E27 Pendant Lamp Holder with 1m Round Cable,Metal,French Gold (Rose Gold Tone),French Gold,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2544.jpg
130,PHMU1PBRCO,Lighting Accessory,Pendant Lamp Holder,E27 Copper Pendant Lamp Holder with 1m Round Cable,Metal,Brass,Copper,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2542.jpg
131,PHMU1PBRCH,Lighting Accessory,Pendant Lamp Holder,E27 Chrome Pendant Lamp Holder with 1m Braided Cable,Metal,Polished Chrome,Silver,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2541.jpg
132,PHMU1PBRGB,Lighting Accessory,Pendant Lamp Holder,E27 Green BrassPendant Lamp Holder with 1m Round PVC Cable,Metal,Brass,Green Brass,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2540.jpg
133,PHSH1PWRWH,Lighting Accessory,Pendant Lamp Holder,E27 Pendant Lamp Holder with 1m Round Cable,Metal,Painetd White,White,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2536.jpg
134,PHFH1PBRGS,Lighting Accessory,Pendant Lamp Holder,E27 Pendant Lamp Holder with 1m Round Cable,Metal,Matte Black,Black,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/2527.jpg
135,PHMU1PBRYB,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Brass Pendant Lamp Holder with 1m Twisted Cable,Metal,Brass,Yellow Brass,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/1437.jpg
136,PHMU1PBRRO,Lighting Accessory,Pendant Lamp Holder,E27 Pendant Lamp Holder with 1m Round Cable,Metal,Rose Gold,Rose Gold,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/1436.jpg
137,PHMU1PBRSN,Lighting Accessory,Pendant Lamp Holder,E27 Pendant Lamp Holder with 1m Round Cable,Metal,Brass,Satinnickle,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/1435.jpg
138,PHCHPCRYB,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Brass Pendant Lamp Holder with 1m Twisted Cable,Metal,Brass,Yellow Brass,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/1280.jpg
139,PHCHPCRSN,Lighting Accessory,Pendant Lamp Holder,1m Clear PVC Cable Pendant Light Holder,Metal,Brass,Satinnickle,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/1277.jpg
140,PHCHPCRCH,Lighting Accessory,Pendant Lamp Holder,E27 Chrome Pendant Lamp Holder with 1m Braided Cable,Metal,Polished Chrome,Silver,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/1276.jpg
141,PHCHPBRRO,Lighting Accessory,Pendant Lamp Holder,E27 Pendant Lamp Holder with 1m Round Cable,Metal,Rose Gold,Rose Gold,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/1275.jpg
142,PHCHPBRGB,Lighting Accessory,Pendant Lamp Holder,E27 Green BrassPendant Lamp Holder with 1m Round PVC Cable,Metal,Brass,Green Brass,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/1274.jpg
143,PHCHPBRCO,Lighting Accessory,Pendant Lamp Holder,E27 Copper Pendant Lamp Holder with 1m Round Cable,Metal,Brass,Copper,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/1273.jpg
144,PHCH1BRRCO,Lighting Accessory,Pendant Lamp Holder,E27 Copper Pendant Lamp Holder with 1m Round Cable,Metal,Brass,Copper,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,Fabric (PVC Inner Insulation),https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/1231.jpg
145,PHCH1PBRGC,Lighting Accessory,Pendant Lamp Holder,E27 Pendant Lamp Holder with 1m Round Cable,Metal,Oxidized,Greens,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/1195.jpg
146,PHCH1PBRCY,Lighting Accessory,Pendant Lamp Holder,E27 Pendant Lamp Holder with 1m Round Cable,Metal,Rust,Browns,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/1194.jpg
147,PHCH1PBRAA,Lighting Accessory,Pendant Lamp Holder,E27 Pendant Lamp Holder with 1m Round Cable,Metal,Splatter,Multicolour,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/1193.jpg
148,PHCH1BMRBM,Lighting Accessory,Pendant Lamp Holder,E27 Pendant Lamp Holder with 1m Round Cable,Metal,Matte Black,Black,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/735.jpg
149,PHCH2BMRBM,Lighting Accessory,Pendant Lamp Holder,E27 Pendant Lamp Holder with 1m Round Cable,Metal,Matte Black,Black,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/3124.jpg
150,PHCH1PBRBB,Lighting Accessory,Pendant Lamp Holder,E27 Pendant Lamp Holder with 1m Round Cable,Metal,Brass,Brushed Brass,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/1923.jpg
151,PHCH1PBRRR,Lighting Accessory,Pendant Lamp Holder,E27 Pendant Lamp Holder with 1m Round Cable,Metal,Rustic Red,Red,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/1234.jpg
152,PHCH1PBRBC,Lighting Accessory,Pendant Lamp Holder,E27 Pendant Lamp Holder with 1m Round Cable,Metal,Brass,Brushed Copper,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/1233.jpg
153,PHCH1PBRBS,Lighting Accessory,Pendant Lamp Holder,E27 Pendant Lamp Holder with 1m Round Cable,Metal,Brushed Silver,Silver,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/1232.jpg
154,PHHC1BMRYB,Lighting Accessory,Pendant Lamp Holder,E27 Yellow Brass Pendant Lamp Holder with 1m Twisted Cable,Metal,Brass,Yellow Brass,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/5064.jpg
155,PHHC1BMRBM,Lighting Accessory,Pendant Lamp Holder,E27 Pendant Lamp Holder with 1m Round Cable,Metal,Matte Black,Black,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/5063.jpg
156,PHHF1PBRBS,Lighting Accessory,Pendant Lamp Holder,E27 Pendant Lamp Holder with 1m Round Cable,Metal,Brushed Silver,Silver,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/37137.jpg
157,PHHF1PBRBC,Lighting Accessory,Pendant Lamp Holder,E27 Pendant Lamp Holder with 1m Round Cable,Metal,Brass,Brushed Copper,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/37136.jpg
