sku,section_family_banner,section_shape_banner,Material_Primary,Shade_Shape,Fitting_Type,Product_Status
LSCG185AR,Glass Lampshades,Cone,Glass,Cone,Easy Fit,Active
LSPG250AR,Glass Lampshades,Cone,Glass,Cone,Easy Fit,Active
LSBG136AR,Glass Lampshades,Cylinder Dome,Glass,Cylinder Dome,Easy Fit,Active
LSGLCY100BM,Glass Lampshades,Cylinder Dome,Glass,Cylinder Dome,Easy Fit,Active
LSGLCY120CO,Glass Lampshades,Cylinder Dome,Glass,Cylinder Dome,Easy Fit,Active
LSGLLF170AR,Glass Lampshades,Decorative Bell,Glass,Decorative Bell,Easy Fit,Active
LSGLSC115AR,Glass Lampshades,Decorative Bell,Glass,Decorative Bell,Easy Fit,Active
LSGLSC1508CL,Glass Lampshades,Decorative Bell,Glass,Decorative Bell,Easy Fit,Active
LSGLWB125TN,Glass Lampshades,Decorative Bell,Glass,Decorative Bell,Easy Fit,Active
LSMCSQWYBL,Glass Lampshades,Decorative Glass Lampshade,Glass,Decorative Glass Lampshade,Easy Fit,Active
LSMCSQWYRE,Glass Lampshades,Decorative Glass Lampshade,Glass,Decorative Glass Lampshade,Easy Fit,Active
LSGLWM200YC,Glass Lampshades,Dome,Glass,Dome,Easy Fit,Active
LSGLWS180YC,Glass Lampshades,Dome,Glass,Dome,Easy Fit,Active
LSGLBC160AR,Glass Lampshades,Faceted Bell,Glass,Faceted Bell,Easy Fit,Active
LSFG210AR,Glass Lampshades,Flat,Glass,Flat,Easy Fit,Active
LSGG200AR,Glass Lampshades,Globe,Glass,Globe,Easy Fit,Active
LSGLBC150CO,Glass Lampshades,Globe,Glass,Globe,Easy Fit,Active
LSGLBP150CO,Glass Lampshades,Globe,Glass,Globe,Easy Fit,Active
LSGLSC150BM,Glass Lampshades,Globe,Glass,Globe,Easy Fit,Active
LSGLFE150WH,Glass Lampshades,Globe,Glass,Globe,Easy Fit,Active
LSMCSPDRFL,Glass Lampshades,Globe Shape,Glass,Globe Shape,Easy Fit,Active
LSMCSPDRMC,Glass Lampshades,Globe Shape,Glass,Globe Shape,Easy Fit,Active
LSMCSPFLMC,Glass Lampshades,Globe Shape,Glass,Globe Shape,Easy Fit,Active
LSMCSPMSMC,Glass Lampshades,Globe Shape,Glass,Globe Shape,Easy Fit,Active
LSMCSPSQMC,Glass Lampshades,Globe Shape,Glass,Globe Shape,Easy Fit,Active
LSGLDC160AS,Glass Lampshades,Tapered Cone,Glass,Tapered Cone,Easy Fit,Active
LSGD280AR,Glass Lampshades,Temple- Dome,Glass,Temple- Dome,Easy Fit,Active
LSGLLN14020AR,Glass Lampshades,Lantern,Glass,Lantern,Easy Fit,Active
LSGLLN150AR,Glass Lampshades,Lantern,Glass,Lantern,Easy Fit,Active
LSGLST148AR,Glass Lampshades,Striped,Glass,Striped,Easy Fit,Active
LSGLST150AR,Glass Lampshades,Striped,Glass,Striped,Easy Fit,Active
LSGLST1618AR,Glass Lampshades,Striped,Glass,Striped,Easy Fit,Active
LSGLFL140AR,Glass Lampshades,Flower Shape,Glass,Flower Shape,Easy Fit,Active
LSGLCA16015AR,Glass Lampshades,Shape Pending Confirmation,Glass,Striped,Easy Fit,Active
LSGLWD150AR,Glass Lampshades,Shape Pending Confirmation,Glass,Globe,Easy Fit,Draft
LSCYRO120BM,Crystal Glass Lampshades,Drum,Crystal Glass,Drum,Easy Fit,Active
LSCYRO120GD,Crystal Glass Lampshades,Drum,Crystal Glass,Drum,Easy Fit,Active
LSCYRO120WH,Crystal Glass Lampshades,Drum,Crystal Glass,Drum,Easy Fit,Active
LSCYRO200BM,Crystal Glass Lampshades,Drum,Crystal Glass,Drum,Easy Fit,Active
LSCYRO200GD,Crystal Glass Lampshades,Drum,Crystal Glass,Drum,Easy Fit,Active
LSCYRO200WH,Crystal Glass Lampshades,Drum,Crystal Glass,Drum,Easy Fit,Active
LSCYRO300BM,Crystal Glass Lampshades,Drum,Crystal Glass,Drum,Easy Fit,Active
LSCYRO300GD,Crystal Glass Lampshades,Drum,Crystal Glass,Drum,Easy Fit,Active
LSCYRO300WH,Crystal Glass Lampshades,Drum,Crystal Glass,Drum,Easy Fit,Active
LSFC160BT,Fabric Lampshades,Tapered Drum,Fabric,Tapered Drum,Easy Fit,Active
LSFC160BU,Fabric Lampshades,Tapered Drum,Fabric,Tapered Drum,Easy Fit,Active
LSFC160OW,Fabric Lampshades,Tapered Drum,Fabric,Tapered Drum,Easy Fit,Active
LSFC220GD,Fabric Lampshades,Tapered Drum,Fabric,Tapered Drum,Easy Fit,Active
LSFC280AS,Fabric Lampshades,Tapered Drum,Fabric,Tapered Drum,Easy Fit,Active
LSFC280BT,Fabric Lampshades,Tapered Drum,Fabric,Tapered Drum,Easy Fit,Active
LSFC280GT,Fabric Lampshades,Tapered Drum,Fabric,Tapered Drum,Easy Fit,Active
LSFC280SY,Fabric Lampshades,Tapered Drum,Fabric,Tapered Drum,Easy Fit,Active
LSFC280WH,Fabric Lampshades,Tapered Drum,Fabric,Tapered Drum,Easy Fit,Active
LSFC300BG,Fabric Lampshades,Tapered Drum,Fabric,Tapered Drum,Easy Fit,Active
LSFC300OW,Fabric Lampshades,Tapered Drum,Fabric,Tapered Drum,Easy Fit,Active
LSFC300TP,Fabric Lampshades,Tapered Drum,Fabric,Tapered Drum,Easy Fit,Active
LSFC300YP,Fabric Lampshades,Tapered Drum,Fabric,Tapered Drum,Easy Fit,Active
LSH3325HE,Natural Rope-Rattan Lampshades,Dome,Natural Rope,Dome,Easy Fit,Active
LSHB310HE,Natural Rope-Rattan Lampshades,Dome,Natural Rope,Dome,Easy Fit,Active
LSHI410HE,Natural Rope-Rattan Lampshades,Dome,Natural Rope,Dome,Easy Fit,Active
LSHM300HE,Natural Rope-Rattan Lampshades,Dome,Natural Rope,Dome,Easy Fit,Active
LSHM400HE,Natural Rope-Rattan Lampshades,Dome,Natural Rope,Dome,Easy Fit,Active
